0.0010,100,1.043917e-01,1.202850e-02,8.669707e-03
0.0050,100,4.322573e-01,4.575779e-02,2.970285e-02
0.0100,100,6.951207e-01,6.872482e-02,3.846682e-02
0.0500,100,1.089969e+00,1.127330e-01,1.716062e-02
0.1000,100,1.096432e+00,1.249385e-01,5.029867e-03
0.5000,100,1.096461e+00,1.286172e-01,1.402485e-03
1.0000,100,1.096461e+00,1.286172e-01,1.402484e-03
5.0000,100,-1.761945e+60,1.243817e+59,-6.313056e+59
10.0000,100,2.819823e+135,8.995499e+150,-5.192692e+151
0.0450,110,1.089537e+00,1.124245e-01,1.747618e-02
